Hashtags,Fecha,Texto,Usuario,Followers,Respuestas,Retweets,Likes,Citados,Vistas,Idioma,Rango Retweets,Rango Likes,Rango Respuestas,Rango Citados,Rango Vistas,Rango Total
"['DíaInternacionalDeLaMujer', 'Mephaa', '8M', 'InésFernándezOrtega']",2023-03-09 02:32:57+00:00,"En el #DíaInternacionalDeLaMujer ""una mujer #Mephaa le ganó la batalla al poder militar"". 

Este #8M 💜 #InésFernándezOrtega logró que fuera condenado uno de los once militares que la agredieron sexualmente hace más de 20 años.
👉https://t.co/78l6XhjnSO",IMER_Noticias,39458,1,1,6,0,283.0,es,242.0,798.0,32.0,25.0,8459.0,9556.0
"['feminicidio', 'Zócalo', '8M', 'DíaInternacionalDeLaMujer']",2023-03-08 22:53:41+00:00,"Al grito de ""¡No estás sola!, las mujeres se solidarizan con las madres de víctimas de #feminicidio para que lleguen al #Zócalo 🌆.
📹: @hazelzamm 

#8M #DíaInternacionalDeLaMujer 💜 https://t.co/Mnz8CvsrOL",IMER_Noticias,39458,0,8,10,1,592.0,es,242.0,798.0,32.0,25.0,8459.0,9556.0
"['8M', '8DeMarzo', 'DíaInternacionalDeLaMujer']",2023-03-08 22:49:19+00:00,"La música también convoca a seguir la lucha este #8M 

No hay revolución sin ella. Así suenan las batucadas feministas este #8DeMarzo 
#DíaInternacionalDeLaMujer 💜
📹: @hazelzamm https://t.co/9P5lmIwSGg",IMER_Noticias,39458,0,8,10,0,513.0,es,242.0,798.0,32.0,25.0,8459.0,9556.0
"['8M', 'DíaInternacionalDeLaMujer', 'CDMX', 'IMERNoticias']",2023-03-08 22:14:56+00:00,"Acompaña a las diferentes colectivas y contingentes este #8M 💜 #DíaInternacionalDeLaMujer en las marchas en #CDMX de mano del equipo de nuestras reporteras en el minuto a minuto de #IMERNoticias  

📻https://t.co/gQhMj0uG2K",IMER_Noticias,39458,0,1,3,0,281.0,es,242.0,798.0,32.0,25.0,8459.0,9556.0
"['ElDato', 'SegundaEmisión', '8M2023']",2023-03-09 20:37:31+00:00,"🔎 #ElDato || Durante 2022, los derechos más violados de las mujeres fueron la protección a la salud, seguridad jurídica e igualdad.

📻 #SegundaEmisión con @patybetaza 
🟣 #8M2023 https://t.co/wBiEN6jcW8",IMER_Noticias,39459,0,4,0,0,389.0,es,242.0,798.0,32.0,25.0,8459.0,9556.0
['8M2023'],2023-03-09 13:58:19+00:00,"Las mujeres pintaron de morado 💜 las calles de la Ciudad de México este #8M2023 ✊🪧 

Acá puedes ver las mejores imágenes de la jornada 📸:

➡️ https://t.co/25sm9E8vgo https://t.co/q9MfnzdeQa",IMER_Noticias,39459,0,3,2,0,450.0,es,242.0,798.0,32.0,25.0,8459.0,9556.0
"['8M2023', 'ChingonasSound']",2023-03-08 21:04:25+00:00,"🟣 #8M2023 || Las colectivas #ChingonasSound y @ResistePedal montaron un sonido autogestivo para ambientar la marcha a la altura de la Antimonumenta. Para ellas, la lucha también implica gozo y baile.

📹: @aurapaog https://t.co/fmlrwopkgJ",IMER_Noticias,39459,1,2,5,0,336.0,es,242.0,798.0,32.0,25.0,8459.0,9556.0
"['8M2023', 'LasSabrinas']",2023-03-08 21:01:51+00:00,"🟣 #8M2023 || La colectiva #LasSabrinas visibiliza la violencia sexual. Por ello, invitan a las mujeres a dejar una huella en una manta para recordarle a las víctimas de esta violencia que no están solas.

📹: @hazelzamm https://t.co/MflSthdWhs",IMER_Noticias,39459,2,0,3,0,239.0,es,242.0,798.0,32.0,25.0,8459.0,9556.0
"['ElDato', 'SegundaEmisión', '8M2023']",2023-03-08 20:44:44+00:00,"🔎 #ElDato || El 70.1% de las mujeres en México ha vivido al menos un incidente de violencia. Actualmente, once mujeres son asesinadas al día.
 
📻 #SegundaEmisión con @patybetaza
🟣 #8M2023 https://t.co/gWPxOlYJdE",IMER_Noticias,39459,0,2,7,0,360.0,es,242.0,798.0,32.0,25.0,8459.0,9556.0
['8M2023'],2023-03-08 20:29:10+00:00,"🟣 #8M2023 || Contingentes de mujeres, estudiantes, familiares de víctimas de violencia siguen llegando a la Glorieta de las Mujeres que Luchan.

Cantan “Vivir Sin Miedo”, la canción de Vivir Quintana que se ha convertido en un himno del feminismo.

📹: @hazelzamm https://t.co/owDeSY0zHy",IMER_Noticias,39459,2,6,18,1,946.0,es,242.0,798.0,32.0,25.0,8459.0,9556.0
"['8M2023', 'JódeteCáncer', '8M']",2023-03-08 20:10:25+00:00,"🟣 #8M2023 || @sandra_monroy, fundadora de la colectiva #JódeteCáncer, comparte que es la primera vez que las pacientes oncológicas se unen a las manifestaciones del #8M para visibilizar que el cáncer de mama es la primera causa de muerte por cánceres en México.

📹: @hazelzamm https://t.co/yMxs40S8P4",IMER_Noticias,39459,1,10,28,2,1216.0,es,242.0,798.0,32.0,25.0,8459.0,9556.0
"['8M2023', '8M']",2023-03-08 19:32:18+00:00,"🟣 #8M2023 || ¿Qué representa el #8M y qué pasará un día después?

Las activistas feministas Alejandra López, @AngieConter y @CrissSantana1 respondieron a estas preguntas. Escucha sus voces:

https://t.co/M8fRvJIozz",IMER_Noticias,39459,0,2,2,0,330.0,es,242.0,798.0,32.0,25.0,8459.0,9556.0
"['8M2023', 'NiUnaMenos', 'NiUnaMás']",2023-03-08 19:15:04+00:00,"🟣 #8M2023 || Comienzan a avanzar los primeros contingentes feministas en la avenida de la Reforma.

#NiUnaMenos 
#NiUnaMás 

📹: @hazelzamm https://t.co/iGGOaYsyei",IMER_Noticias,39459,1,2,19,0,858.0,es,242.0,798.0,32.0,25.0,8459.0,9556.0
"['8M2023', 'Marcha8M']",2023-03-08 18:42:34+00:00,"🟣 #8M2023 || Estos son algunos de los carteles que llevan las mujeres que participarán en la #Marcha8M en la Ciudad de México.

📸: @karentlali https://t.co/jRAFxhvaJf",IMER_Noticias,39459,4,5,25,1,1799.0,es,242.0,798.0,32.0,25.0,8459.0,9556.0
"['8M2023', 'Marcha8M']",2023-03-08 18:38:56+00:00,"🟣 #8M2023 || Decenas de mujeres cantan durante su trayecto hacia los puntos donde se concentrarán los contingentes de la #Marcha8M. 

📹: @hazelzamm https://t.co/8wlBRQuNhH",IMER_Noticias,39459,11,145,872,10,39314.0,es,242.0,798.0,32.0,25.0,8459.0,9556.0
['8M2023'],2023-03-08 17:29:15+00:00,"🟣 #8M2023 || Entre selfies, abrazos y felicitaciones, gobernadoras, funcionarias y legisladoras de @PartidoMorenaMx llegaron al Patio Central de Palacio Nacional para la conmemoración del Día Internacional de la Mujer.

📹: @adrianaesthela https://t.co/1vi0kCK775",IMER_Noticias,39459,1,1,2,0,341.0,es,242.0,798.0,32.0,25.0,8459.0,9556.0
"['AlMomento', '8M2023']",2023-03-08 16:51:41+00:00,"#AlMomento || Inés Fernández, sobreviviente de tortura sexual, comparte su lucha de más de 20 años para lograr la sentencia condenatoria en contra de uno de los militares que la agredió.

🟣 #8M2023 https://t.co/uXFtQaAlka",IMER_Noticias,39459,2,6,16,1,898.0,es,242.0,798.0,32.0,25.0,8459.0,9556.0
['8M2023'],2023-03-08 16:02:33+00:00,"Clases de defensa personal, ciclos de cine y diversos talleres forman parte de las actividades del 🟣#8M2023. 

Te compartimos la agenda 🗓️: 

https://t.co/Ox867sVJd6",IMER_Noticias,39459,0,2,3,0,527.0,es,242.0,798.0,32.0,25.0,8459.0,9556.0
"['ConferenciaPresidente', '8M2023']",2023-03-08 13:50:36+00:00,"🗣️ #ConferenciaPresidente || El presidente Andrés Manuel López Obrador arrancó la conferencia mañanera mandando ""felicitaciones"" a las mujeres en el marco del #8M2023 https://t.co/dC3fDvgBZE",IMER_Noticias,39459,1,1,3,0,450.0,es,242.0,798.0,32.0,25.0,8459.0,9556.0
"['8M2023', '8M', 'NiUnaMenos']",2023-03-08 13:21:17+00:00,"🟣 #8M2023 || Si acudes a alguna de las manifestaciones convocadas por el #8M, toma en cuenta las siguientes recomendaciones: 

#NiUnaMenos https://t.co/AR7NQFxtnv",IMER_Noticias,39459,0,2,1,0,343.0,es,242.0,798.0,32.0,25.0,8459.0,9556.0
"['PrimerasPlanas', '8M2023', 'PrimeraEmisión', 'PaísEn8Columnas', 'TuDiarioEnLaRadio']",2023-03-08 13:10:22+00:00,"🗞️ #PrimerasPlanas || Te compartimos algunas portadas de diarios nacionales, que destacan el #8M2023, Día Internacional de la Mujer.

Escucha los detalles de la información en la #PrimeraEmisión de IMER Noticias, con @anajarnajar.

#PaísEn8Columnas
#TuDiarioEnLaRadio https://t.co/Is0OsTN2sZ",IMER_Noticias,39459,0,1,6,2,561.0,es,242.0,798.0,32.0,25.0,8459.0,9556.0
"['AlAire', '8M2023', 'PrimeraEmisión', 'TuDiarioEnLaRadio']",2023-03-08 13:00:44+00:00,"📡 #AlAire || Este #8M2023, escucha la información más relevante de México y el mundo en la #PrimeraEmisión de IMER Noticias, con @anajarnajar.

#TuDiarioEnLaRadio

📻: @HorizonteJazz y @XEB1220AM 
💻: https://t.co/ZOKYLxqahy
📱: App del @imerhoy https://t.co/qhBQIt5KyW",IMER_Noticias,39459,0,2,4,1,837.0,es,242.0,798.0,32.0,25.0,8459.0,9556.0
"['AlAire', 'TerceraEmisión', '8M2023']",2023-03-07 23:59:48+00:00,"#AlAire || ¡Ya inicia la #TerceraEmisión de IMER Noticias!

Escucha a @eliabaltazar con las noticias más destacadas del día:

📌Localizan estadounidenses en Tamaulipas
📌 Examen consejeros INE
📌 Previo #8M2023 

📻: @HorizonteJazz y @XEB1220AM
💻: https://t.co/ZOKYLxqahy https://t.co/giClscHItl",IMER_Noticias,39458,0,0,0,0,227.0,es,242.0,798.0,32.0,25.0,8459.0,9556.0
"['ElDato', 'SegundaEmisión', '8M2023']",2023-03-06 20:36:33+00:00,"🔎 #ElDato || La violencia psicológica es la que más experimentan las mujeres en México, seguida de la sexual y la económica y/o patrimonial.
 
📻 #SegundaEmisión con @patybetaza
🟣#8M2023 https://t.co/sDMrUTbImF",IMER_Noticias,39458,0,1,0,0,313.0,es,242.0,798.0,32.0,25.0,8459.0,9556.0
"['LaPrimeraDelDía', 'DiaDeLaMujer', 'TuDiarioEnLaRadio']",2023-03-08 13:15:42+00:00,"📰 #LaPrimeraDelDía || Por vivir libres y sin miedo, colectivas y organizaciones preparan distintas protestas este 8 de marzo, 🟣#DiaDeLaMujer. 

▶️: https://t.co/ZOKYLxqahy
#TuDiarioEnLaRadio 
https://t.co/NFpb9YYo6f",IMER_Noticias,39465,1,0,1,1,448.0,es,242.0,798.0,32.0,25.0,8459.0,9556.0
"['mujeres', '8DeMarzo']",2023-03-08 23:07:47+00:00,"""Pelea como niña"" 🔥❤️‍🔥

Las postales de la marcha de #mujeres en el #8DeMarzo 💜💚

📸: @hazelzamm https://t.co/eTAP2V0FRW",IMER_Noticias,39467,0,10,15,0,744.0,es,242.0,798.0,32.0,25.0,8459.0,9556.0
"['8M', '8DeMarzo']",2023-03-08 22:05:59+00:00,"¿Te quedaste sin espacios de sororidad este #8M?

Aquí te traemos las clases 🎒 talleres, exposiciones 🖼️, conciertos 👩🏽‍🎤 y cine 🎬 especialmente pensados para las mujeres este #8DeMarzo 💜

👉https://t.co/f5gJbjQkNh",IMER_Noticias,39467,0,0,2,0,207.0,es,242.0,798.0,32.0,25.0,8459.0,9556.0
"['8DeMarzo', 'SoyMujerConDiscapacidad', '8M']",2023-03-08 21:24:06+00:00,"Mujeres con alguna discapacidad exigen justicia y equidad de género este #8DeMarzo, a través de una iniciativa del @movimientoPcD.

#SoyMujerConDiscapacidad
🟣 #8M

https://t.co/EDBDuRRPVk",IMER_Noticias,39467,1,12,20,3,698.0,es,242.0,798.0,32.0,25.0,8459.0,9556.0
"['AlAire', '8DeMarzo', 'TodasLasVoces']",2023-03-08 20:22:20+00:00,"📡 #AlAire || Debido a la inseguridad, colectivos feministas de Tula, Hidalgo, suspendieron la marcha de este #8DeMarzo.

La reportera Joselyn Sánchez nos informa.

▶️: https://t.co/ZOKYLxqahy
#TodasLasVoces https://t.co/cTvHlmEn3e",IMER_Noticias,39467,0,1,1,0,255.0,es,242.0,798.0,32.0,25.0,8459.0,9556.0
"['8DeMarzo', 'TodasLasVoces']",2023-03-08 13:59:58+00:00,"Este #8DeMarzo es un llamado a encontrarnos entre mujeres y reconocer a otras mujeres que lucharon para que hoy podemos salir a exigir nuestros derechos, afirma Alejandra López.

▶️: https://t.co/ZOKYLxqI76
#TodasLasVoces",IMER_Noticias,39467,1,0,1,0,81.0,es,242.0,798.0,32.0,25.0,8459.0,9556.0
"['MujeresPorLaPaz', '8DeMarzo']",2023-03-08 13:37:51+00:00,"🟣 #MujeresPorLaPaz || Petra y Perla son mujeres totalmente opuestas, pero que comparten una misma lucha: por una vida digna, alejada de la violencia.

Este #8DeMarzo, conoce sus historias en voz de @aurapaog y @PerlaML89:
https://t.co/5iu4IOLXr8",IMER_Noticias,39467,1,3,8,1,579.0,es,242.0,798.0,32.0,25.0,8459.0,9556.0
['8DeMarzo'],2023-03-08 13:25:43+00:00,"“La mujer que no defiende a la mujer tiene un sitio especial reservado en el infierno”.

A ti mujer, te digo: un honor estar a tu lado. #8DeMarzo https://t.co/YwAySrVR9a",Macarena_Olona,374854,1079,146,1039,162,289570.0,es,147.0,770.0,309.0,122.0,8993.0,10341.0
['8M2023'],2023-03-08 14:22:06+00:00,Nos vemos en la calle ✊💜 #8M2023 https://t.co/4dH6sT4muU,lauriellemaven,14508,8,771,1814,7,86387.0,es,519.0,948.0,9.0,8.0,8680.0,10164.0
"['8M', 'DiaInternacionalDeLaMujer']",2023-03-09 01:58:16+00:00,"Empoderan, inspiran, conmueven. Son víctimas pero tomaron las riendas de la situación y exigen vida libre d violencia, justicia, reconocimiento, equidad, amor... la ola morada es interminable, q sirva para todas #8M desde nuestras trincheras  #DiaInternacionalDeLaMujer https://t.co/FvotN7EbGU",Yoeliramirez,13796,56,108,641,2,96222.0,es,124.0,678.0,73.0,3.0,8761.0,9639.0
"['Tamaulipas', 'TemaDelDia', '8M2023']",2023-03-08 00:54:27+00:00,"Los espero 19 y 23 horas  @MeganoticiasMx 
En México nadie mencionó ASESINATOS y ninguna autoridad respondió cómo murieron los 2 estadounidenses #Tamaulipas. En EEUU sí y advirtieron q serán implacables.
-Informalidad, #TemaDelDia
-#8M2023 todo listo. Los espero mañana en zócalo https://t.co/HkOghySHgA",Yoeliramirez,13794,16,15,165,0,8129.0,es,124.0,678.0,73.0,3.0,8761.0,9639.0
['DíaInternacionalDeLaMujer'],2023-03-09 03:22:25+00:00,En el @Edomex reafirmamos nuestro compromiso con las mujeres. #DíaInternacionalDeLaMujer https://t.co/BP4xiDgP21,alfredodelmazo,1129951,151,2188,3540,91,54160.0,es,671.0,1142.0,236.0,138.0,8818.0,11005.0
['DíaInternacionalDeLaMujer'],2023-03-08 19:18:51+00:00,"Hoy, #DíaInternacionalDeLaMujer, refrendamos nuestro mayor compromiso con las mujeres mexiquenses, reconociendo el esfuerzo, la determinación y la fuerza de sus acciones. https://t.co/aLcz0nnmhG",alfredodelmazo,1129955,207,2719,4320,133,73211.0,es,671.0,1142.0,236.0,138.0,8818.0,11005.0
"['8M2023', 'NosUneLaVida', 'MujeresEnResistencia', 'CNDDHH']",2023-03-09 19:53:47+00:00,"🟣#8M2023
Por todas las mujeres víctimas de la represión estatal, patriarcal y machista, te mostramos datos que nunca debemos olvidar 👇🏾
#NosUneLaVida
¡#MujeresEnResistencia por la vida y la democracia!
#CNDDHH
 🔥💜💚 https://t.co/BK56eLFmkL",cnddhh,68259,13,83,128,0,2949.0,es,568.0,977.0,266.0,46.0,8554.0,10411.0
"['DerechoALaProtesta', 'CNDDHH', '8M2023', 'DiaInternacionalDeLasMujeres']",2023-03-09 00:32:11+00:00,"#DerechoALaProtesta! 
Demandamos a la @PoliciaPeru no reprimir la protesta pacífica sino garantizar su ejercicio. Aquí 👇🏾 manifestantes marchando pacíficamente por el Centro de Lima. 
#CNDDHH 
#8M2023 
#DiaInternacionalDeLasMujeres https://t.co/ZOcSEe4Hcj",cnddhh,68259,102,265,461,4,7911.0,es,568.0,977.0,266.0,46.0,8554.0,10411.0
"['8M2023', 'MujeresEnResistencia', 'CNDDHH']",2023-03-08 22:45:58+00:00,"#8M2023 
Mujeres de las delegaciones regionales, entre ellas de Puno,  conmemoran el Día Internacional de la Mujer en Lima. Exigen la renuncia de Dina Boluarte, nuevas elecciones,  justicia, entre otras demandas.  
#MujeresEnResistencia por vida y democracia ✊🏿
#CNDDHH https://t.co/DttfMgO5mY",cnddhh,68259,61,186,426,10,12912.0,es,568.0,977.0,266.0,46.0,8554.0,10411.0
"['8M2023', 'MujeresEnResistencia', 'NosUneLaVida']",2023-03-08 21:16:31+00:00,"🟣#8M2023|| INFORME
Impactos en el contexto de la movilización ciudadana 2022-2023: profundizando desigualdades de género. 
¿Cuáles son esos impactos? 👇🏾
👉🏾Leer https://t.co/XPqq83yAYD
¡#MujeresEnResistencia por vida y democracia!
#NosUneLaVida https://t.co/oCkkk0GtmA",cnddhh,68259,4,42,63,1,4105.0,es,568.0,977.0,266.0,46.0,8554.0,10411.0
['8M2023'],2023-03-08 16:06:29+00:00,"🟣PRONUNCIAMIENTO / #8M2023
Esta democracia, ya no es democracia 
Más de 400 organizaciones feministas y de mujeres se pronuncian y apuestan este 8 de marzo,  por la vida y la democracia, el reconocimiento, respeto y garantía irrestricta de los derechos de todas, todos y todes.🧵 https://t.co/XpQcDgcy08",cnddhh,68259,194,194,421,14,19469.0,es,568.0,977.0,266.0,46.0,8554.0,10411.0
"['8M2023', 'NosUneLaVida', 'MujeresEnResistencia', 'CNDDHH', '8Marzo']",2023-03-08 02:11:50+00:00,"🟣#8M2023 
Exigimos justicia y respeto x todas las víctimas de la represión estatal, del feminicidio, del transfeminicidio y de todas las violencias, todas. 
#NosUneLaVida
¡#MujeresEnResistencia por la vida y la democracia!
#CNDDHH
Día Internacional de la Mujer 🔥💜💚
#8Marzo https://t.co/HuXHbcyHMg",cnddhh,68259,113,223,464,11,15287.0,es,568.0,977.0,266.0,46.0,8554.0,10411.0
"['8M2023', 'NosUneLaVida', 'MujeresEnResistencia', 'CNDDHH']",2023-03-07 22:48:02+00:00,"🟣#8M2023
Por todas las mujeres víctimas de violencia patriarcal y machista, te mostramos datos que nunca debemos olvidar 👇🏾
#NosUneLaVida
¡#MujeresEnResistencia por la vida y la democracia!
#CNDDHH
 🔥💜💚 https://t.co/4iUf3mvczc",cnddhh,68259,22,48,99,5,3284.0,es,568.0,977.0,266.0,46.0,8554.0,10411.0
"['8M2023', '8M', 'InternationalWomensDay', 'DiaInternacionalDeLaMujer']",2023-03-09 04:57:58+00:00,"Si tocan a una, respondemos todas 🔥💜💚
.
.
.
 #8M2023 #8M #InternationalWomensDay #DiaInternacionalDeLaMujer https://t.co/4EzuNGfFNN",NicolePerera,5280,3,1,163,0,7160.0,es,244.0,1041.0,79.0,75.0,8875.0,10314.0
['8M2023'],2023-03-08 18:13:24+00:00,"Hoy más que nunca: LAS MUJERES TRANS, SON MUJERES. Y NO PIENSO DEBATIRLO. #8M2023 https://t.co/oDhldwpVFF",NicolePerera,5280,0,30,254,3,10244.0,es,244.0,1041.0,79.0,75.0,8875.0,10314.0
['8M2023'],2023-03-08 15:41:53+00:00,"¿Qué harían, que normalmente no pueden hacer, si tuviéramos 24 horas sin hombres? 

Empiezo yo: 

Me encantaría poder salir a caminar sola de noche, con audífonos y que sea una experiencia de paz y no de constante miedo.

#8M2023",NicolePerera,5280,74,198,2057,74,126281.0,es,244.0,1041.0,79.0,75.0,8875.0,10314.0
['8M2023'],2023-03-08 06:18:13+00:00,"HARTA DE AVISAR QUE LLEGUÉ VIVA. #8M2023 

Si me ven en la marcha me dan un abrazo 💜 https://t.co/rfh8KS0sdk",NicolePerera,5280,1,14,305,0,13425.0,es,244.0,1041.0,79.0,75.0,8875.0,10314.0
['DiaInternacionalDeLaMujer'],2023-03-08 13:52:04+00:00,"“Nunca dudes de que un pequeño grupo de personas pensantes y comprometidas puedan cambiar el mundo. De hecho, son las únicas que alguna vez lo han logrado.” ✊🏾💜
Margaret Mead
#DiaInternacionalDeLaMujer https://t.co/lz00VbyUvg",IreneVelezT,101294,424,420,1708,18,70298.0,es,380.0,930.0,249.0,19.0,8590.0,10168.0
['8M2023'],2023-03-08 15:30:57+00:00,"El único resultado que nos sirve es la igualdad. 

#8M2023 https://t.co/q9azvYk53U",OficialCAP,540483,53,242,2078,44,133477.0,es,243.0,978.0,54.0,45.0,8830.0,10150.0
['8M2023'],2023-03-08 12:12:01+00:00,Buena campaña de la @acdp_es para destacar lo importante frente a la ingeniería social que nos venden en este #8M2023. https://t.co/lydbBDoJTX,patergongora,62694,9,152,344,8,19395.0,es,238.0,851.0,36.0,16.0,8427.0,9568.0
['8M2023'],2023-03-08 07:43:38+00:00,Lo único bueno del #8M2023 es que el color predominante va acorde con el color litúrgico del tiempo de Cuaresma. GM. https://t.co/gruAOD0FQP,patergongora,62694,26,85,944,7,33240.0,es,238.0,851.0,36.0,16.0,8427.0,9568.0
"['8M2023', '8DeMarzo', '8deMarzo2023']",2023-03-08 15:10:47+00:00,"En esta pequeña lista de grandes escritoras se hallan representados todos los géneros literarios: cuento, ensayo, guión, novela, periodismo, poesía y teatro. Están además la ciencia ficción, la filosofía, la novela negra y el terror.

#8M2023
#8DeMarzo 
#8deMarzo2023",LitPerdida,46850,0,8,87,2,4157.0,es,422.0,1049.0,17.0,40.0,8956.0,10484.0
"['8M2023', '8DeMarzo', '8deMarzo2023']",2023-03-08 15:09:55+00:00,"BONUS AUTHOR

Jan Morris (Reino Unido, 1926-2020).

#8M2023
#8DeMarzo 
#8deMarzo2023 https://t.co/g1nLm8r1WL",LitPerdida,46850,1,2,51,0,4204.0,es,422.0,1049.0,17.0,40.0,8956.0,10484.0
"['8M2023', '8DeMarzo', '8deMarzo2023']",2023-03-08 15:08:20+00:00,"y 20. Joan Didion (Estados Unidos, 1934-2021).

#8M2023
#8DeMarzo 
#8deMarzo2023 https://t.co/DhSVRLnL9L",LitPerdida,46850,1,1,81,0,4024.0,es,422.0,1049.0,17.0,40.0,8956.0,10484.0
"['8M2023', '8DeMarzo', '8deMarzo2023']",2023-03-08 15:07:31+00:00,"19. Susan Sontag (Estados Unidos, 1933-2004).

#8M2023
#8DeMarzo 
#8deMarzo2023 https://t.co/oWjzMM2yEE",LitPerdida,46850,1,3,105,0,4086.0,es,422.0,1049.0,17.0,40.0,8956.0,10484.0
"['8M2023', '8DeMarzo', '8deMarzo2023']",2023-03-08 15:06:49+00:00,"18. Toni Morrison (Estados Unidos, 1931-2019).

#8M2023
#8DeMarzo 
#8deMarzo2023 https://t.co/l972XXPwDB",LitPerdida,46850,1,2,93,0,3921.0,es,422.0,1049.0,17.0,40.0,8956.0,10484.0
"['8M2023', '8DeMarzo', '8deMarzo2023']",2023-03-08 15:05:46+00:00,"17. Ursula K. Le Guin (Estados Unidos, 1929-2018).

#8M2023
#8DeMarzo 
#8deMarzo2023 https://t.co/nlaMMBuWim",LitPerdida,46850,1,2,81,1,4043.0,es,422.0,1049.0,17.0,40.0,8956.0,10484.0
"['8M2023', '8DeMarzo', '8deMarzo2023']",2023-03-08 15:00:54+00:00,"15. Patricia Highsmith (Estados Unidos-Suiza, 1921-1995).

#8M2023
#8DeMarzo 
#8deMarzo2023 https://t.co/3DlBK8LiaB",LitPerdida,46850,1,2,92,0,4375.0,es,422.0,1049.0,17.0,40.0,8956.0,10484.0
"['8M2023', '8DeMarzo', '8deMarzo2023']",2023-03-08 14:59:00+00:00,"13. Doris Lessing (Irán-Reino Unido, 1919-2013).

#8M2023
#8DeMarzo 
#8deMarzo2023 https://t.co/FiFMK7n9FJ",LitPerdida,46850,1,2,88,0,4769.0,es,422.0,1049.0,17.0,40.0,8956.0,10484.0
"['8M2023', '8DeMarzo', '8deMarzo2023']",2023-03-08 14:58:11+00:00,"12. Carson McCullers (Estados Unidos, 1917-1967).

#8M2023
#8DeMarzo 
#8deMarzo2023 https://t.co/VyPaZJ0ccP",LitPerdida,46850,1,2,88,1,4524.0,es,422.0,1049.0,17.0,40.0,8956.0,10484.0
"['8M2023', '8DeMarzo', '8deMarzo2023']",2023-03-08 14:56:41+00:00,"11. Elena Garro (México, 1916-1998).

#8M2023
#8DeMarzo 
#8deMarzo2023 https://t.co/wAJ9Dw6f83",LitPerdida,46850,1,4,121,0,4665.0,es,422.0,1049.0,17.0,40.0,8956.0,10484.0
"['8M2023', '8DeMarzo', '8deMarzo2023']",2023-03-08 14:55:48+00:00,"10. Shirley Jackson (Estados Unidos, 1916-1995).

#8M2023
#8DeMarzo 
#8deMarzo2023 https://t.co/6LgN7mkz62",LitPerdida,46850,1,2,79,0,4537.0,es,422.0,1049.0,17.0,40.0,8956.0,10484.0
"['8M2023', '8DeMarzo', '8deMarzo2023']",2023-03-08 14:52:08+00:00,"7. Simone Weil (Francia-Reino Unido, 1909-1943).

#8M2023
#8DeMarzo 
#8deMarzo2023 https://t.co/YMUq0lJtBE",LitPerdida,46850,1,2,89,0,4495.0,es,422.0,1049.0,17.0,40.0,8956.0,10484.0
"['8M2023', '8DeMarzo', '8deMarzo2023']",2023-03-08 14:48:21+00:00,"5. Hannah Arendt (Alemania-Estados Unidos, 1906-1975).

#8M2023
#8DeMarzo 
#8deMarzo2023 https://t.co/08GSKSv66z",LitPerdida,46850,1,3,116,1,5370.0,es,422.0,1049.0,17.0,40.0,8956.0,10484.0
"['8M2023', '8DeMarzo', '8deMarzo2023']",2023-03-08 14:47:38+00:00,"4. María Zambrano (España, 1904-1991).

#8M2023
#8DeMarzo 
#8deMarzo2023 https://t.co/qauDHAMp0j",LitPerdida,46850,1,2,97,0,4859.0,es,422.0,1049.0,17.0,40.0,8956.0,10484.0
"['8M2023', '8DeMarzo', '8deMarzo2023']",2023-03-08 14:46:49+00:00,"3. Marguerite Yourcenar (Bélgica-Estados Unidos, 1903-1987).

#8M2023
#8DeMarzo 
#8deMarzo2023 https://t.co/3y3YtTQ7O2",LitPerdida,46850,1,3,113,1,4867.0,es,422.0,1049.0,17.0,40.0,8956.0,10484.0
"['8M2023', '8DeMarzo', '8deMarzo2023']",2023-03-08 14:45:47+00:00,"2. Agatha Christie (Reino Unido, 1890-1976).

#8M2023
#8DeMarzo 
#8deMarzo2023 https://t.co/o6u8P7yCxo",LitPerdida,46850,1,4,128,1,6436.0,es,422.0,1049.0,17.0,40.0,8956.0,10484.0
"['8M2023', '8DeMarzo', '8deMarzo2023']",2023-03-08 14:44:26+00:00,"VEINTE ESCRITORAS
SIN LAS QUE NO SE PUEDE EXPLICAR
LA LITERATURA DEL SIGLO XX
👉(NO SON LAS ÚNICAS)👈

1. Virginia Woolf (Reino Unido, 1882-1941).

#8M2023
#8DeMarzo 
#8deMarzo2023 https://t.co/0Fpl212OvB",LitPerdida,46850,1,449,1481,32,167882.0,es,422.0,1049.0,17.0,40.0,8956.0,10484.0
['8DeMarzo'],2023-03-08 18:10:49+00:00,seguimos en la lucha ✊🏼 #8DeMarzo,emimernes_,1549843,95,433,4001,5,172389.0,es,389.0,1083.0,95.0,6.0,8900.0,10473.0
['8M2023'],2023-03-09 19:51:47+00:00,"¿Te perdiste la marcha del #8M2023 ? Tranqui, aquí tenemos dos videos de transmisiones en vivo, desde Bogotá 🇨🇴, para que revivas este día:

1️⃣Desde la Fiscalía, en la previa:
https://t.co/NeuJpUVzJ1

2️⃣ Durante la marcha:
https://t.co/O28eJ5aqTI https://t.co/rSNBV833bw",LasIgualadas,75247,0,0,1,0,1118.0,es,294.0,974.0,77.0,14.0,8774.0,10133.0
