Hashtags,Fecha,Texto,Usuario,Followers,Respuestas,Retweets,Likes,Citados,Vistas,Idioma
"['MeLoDijoAdela', '8M2023']",2023-03-08 15:02:02+00:00,"Hoy en #MeLoDijoAdela tendré una mesa de lujo con @MarthaTagle, @vivirquintana, @LaMZapata, @Ramartinactriz, @CAguilarBarroso y más para hablar del #8M2023

Estamos completamente en vivo por las redes de @LaSagaOficial 📲 y @spreaker ⬇️ https://t.co/WXPN4mpSSf",Adela_Micha,5085921,1,6,26,0,8279.0,es
['8M2023'],2023-03-08 14:14:20+00:00,"""En el Poder Judicial Federal nos toca guardar silencio y escuchar a las mujeres que marchan. Las únicas voces que hoy se deben oír son las de ellas"", dice la ministra presidenta Norma Piña en su mensaje por el #8M2023 https://t.co/ypQ8TkCNFi",Adela_Micha,5085920,405,1340,5221,71,200299.0,es
['CDMX'],2023-03-09 03:54:23+00:00,Informan las secretarías de Gobierno y Seguridad de la #CDMX que en la movilización de este 8 de marzo participaron 90 mil mujeres. https://t.co/Wg0z14wDef,Adela_Micha,5086337,19,9,72,2,12436.0,es
['8M2023'],2023-03-09 05:21:08+00:00,Hasta la lengua morada tiene Pepe 💜 #8M2023 https://t.co/VRDpyRSrbc,intensa_mx,24946,5,5,580,0,10908.0,es
['8M2023'],2023-03-07 15:38:01+00:00,Guía de regalos para el 8 de Marzo 🙏🏻(2) #8M2023 https://t.co/eH2qb96mDn,intensa_mx,24946,1,90,253,3,10770.0,es
['8M2023'],2023-03-07 15:37:38+00:00,Guía de regalos para el 8 de Marzo 🙏🏻 #8M2023 https://t.co/i2WcTOpnTm,intensa_mx,24946,30,2079,4367,32,250454.0,es
['8M2023'],2023-03-08 10:29:51+00:00,"por ti, por mi, y por las que ya no están 💜 #8M2023 https://t.co/OaqIhEAl5t",_imstephy3,316,6,1173,4013,9,130762.0,es
"['México', 'Marcha8M', 'DiaDeLaMujer', '8M2023', 'Paz']",2023-03-09 00:05:12+00:00,Así las mujeres abrieron camino al contingente de las madres y familias buscadoras. #México #Marcha8M #DiaDeLaMujer #8M2023 #Paz https://t.co/O0xNcNXHqX,avieu,95838,2,47,193,2,6213.0,es
"['Marcha8M', '8M2023']",2023-03-09 00:00:08+00:00,"Aquí todas nos cuidamos, esta es la marcha feminista. Estado corrupto por tu culpa estoy de luto 💜✌🏼💚 #Marcha8M #8M2023 https://t.co/Z6cobmwxAo",avieu,95838,150,541,2874,7,116205.0,es
"['México', 'Marcha8M', 'DiaDeLaMujer', '8M2023', 'Paz']",2023-03-08 23:52:46+00:00,Así las mujeres abrieron camino al contingente de las madres y familias buscadoras. #México #Marcha8M #DiaDeLaMujer #8M2023 #Paz https://t.co/PARqNEWX3g,avieu,95838,16,492,2155,7,73593.0,es
"['MarchaFeminista', 'Marcha8M', '8M2023']",2023-03-08 23:43:41+00:00,"Impresionante la cantidad de mujeres, fui sola, pero estábamos juntas. Unidad y Chingonas #MarchaFeminista #Marcha8M #8M2023 https://t.co/KI4jEO3DNs",avieu,95838,12,204,1087,3,39226.0,es
"['Marcha8M', '8M2023']",2023-03-08 21:39:26+00:00,Somos miles de mujeres pacíficas que marchamos por nuestros derechos y para que la violencia feminicida termine #Marcha8M #8M2023 https://t.co/axtzr76R5N,avieu,95838,15,178,795,5,32349.0,es
