Hashtags,Fecha,Texto,Usuario,Followers,Respuestas,Retweets,Likes,Citados,Vistas,Idioma
['DiaInternacionalDeLaMujer'],2023-03-07 22:14:11+00:00,"“Ya no estoy aceptando las cosas que no puedo cambiar. Estoy cambiando las cosas que no puedo aceptar”/Ángela Davis 

#DiaInternacionalDeLaMujer https://t.co/fbP7MKSGoy",DeniseDresserG,4644136,144,253,1289,16,65174.0,es
['DiaInternacionalDeLaMujer'],2023-03-06 00:55:08+00:00,"Va invitación a panel en el que participaré mañana sobre “Mujeres en la política”, con @tatclouthier. 6 de marzo, 1:00-2:30 pm, Universidad de Monterrey. Ahí nos vemos ✌️

#DiaInternacionalDeLaMujer https://t.co/nQHg4UJdVv",DeniseDresserG,4644136,46,54,381,3,32762.0,es
"['8M2023', 'Marcha8M', 'DiaInternacionaDeLaMujer']",2023-03-08 23:20:53+00:00,"Mis alumnas marchando por sus derechos 👊💜

#8M2023
#Marcha8M
#DiaInternacionaDeLaMujer https://t.co/kAmjO6VCCu",DeniseDresserG,4644143,494,479,3978,29,201129.0,es
"['Fuedicho', '8deMarzo', 'DiadelaMujer']",2023-03-09 06:00:16+00:00,"""En la oscuridad, las cosas que nos rodean no parecen más reales que los sueños"".
Murasaki Shikibu
#Fuedicho #8deMarzo #DiadelaMujer https://t.co/hVAQ38I6iz",fuedicho,803359,0,34,144,0,14099.0,es
"['Fuedicho', '8deMarzo', 'DiaDeLaMujer']",2023-03-09 05:00:11+00:00,"""Hay un goce profundo y ardiente en pensar y admirar el mar"".
Gertrudis Gómez de Avellaneda
#Fuedicho #8deMarzo #DiaDeLaMujer https://t.co/FWy4uef9PA",fuedicho,803359,2,38,189,1,16127.0,es
"['Fuedicho', '8deMarzo', 'DiaDeLaMujer']",2023-03-09 04:00:12+00:00,"""Mi único país es mi memoria y no tiene himnos"".
Alejandra Pizarnik
#Fuedicho #8deMarzo #DiaDeLaMujer https://t.co/4uQb5zcUDA",fuedicho,803359,2,65,272,2,17426.0,es
"['Fuedicho', '8deMarzo', 'DiadelaMujer']",2023-03-09 03:00:15+00:00,"“La libertad es contagiosa, uno siempre quiere más”.
Yoani Sánchez
#Fuedicho #8deMarzo #DiadelaMujer https://t.co/qXBelHQfCJ",fuedicho,803360,3,42,193,0,16220.0,es
"['Fuedicho', '8deMarzo', 'DiadelaMujer']",2023-03-09 00:00:29+00:00,"""Me pinto a mí misma porque soy a quien mejor conozco"". 
Frida Kahlo
#Fuedicho #8deMarzo #DiadelaMujer https://t.co/y1vQgdov6Y",fuedicho,803361,5,98,495,5,23868.0,es
"['Fuedicho', '8demarzo', 'DiadelaMujer']",2023-03-08 23:00:21+00:00,"""No se le puede dar la mano a quien permanece con el puño cerrado"". 
Indira Gandhi
#Fuedicho
#8demarzo #DiadelaMujer https://t.co/8dbgQCdJrx",fuedicho,803361,11,753,2806,18,111285.0,es
"['Fuedicho', '8deMarzo', 'DiadelaMujer']",2023-03-08 22:01:34+00:00,"""Todos requerimos y queremos respeto, hombre o mujer, negro o blanco. Es nuestro derecho humano básico"".
Aretha Franklin
#Fuedicho 
#8deMarzo #DiadelaMujer https://t.co/yiIBULFNer",fuedicho,803355,7,296,1038,10,35575.0,es
"['Fuedicho', '8deMarzo', 'DiadelaMujer']",2023-03-08 21:00:57+00:00,"""No digas lo que piensas pero piensa lo que dices"".
Gabriela Mistral
#Fuedicho
#8deMarzo #DiadelaMujer https://t.co/czIWYdCz2I",fuedicho,803355,7,116,436,4,22797.0,es
"['Fuedicho', '8demarzo', 'DiadelaMujer']",2023-03-08 20:36:05+00:00,"“El éxito está en la vida que uno lleva, en cómo vive, cómo goza, cómo se integra, cómo disfruta de las pequeñas cosas”.
Laura Esquivel
#Fuedicho #8demarzo #DiadelaMujer https://t.co/nLBQlp4mmj",fuedicho,803356,2,68,240,1,25232.0,es
"['Fuedicho', '8deMarzo', 'DiadelaMujer']",2023-03-08 20:29:19+00:00,"“La envidia es una declaración de inferioridad”. 
Marlene Dietrich
#Fuedicho #8deMarzo #DiadelaMujer https://t.co/Xi54B3WTGy",fuedicho,803356,5,172,547,1,24134.0,es
"['Fuedicho', '8demarzo', 'DiadelaMujer']",2023-03-08 20:01:06+00:00,"""Estoy agradecida de ser mujer. Debo haber hecho algo grande en otra vida"". 
Maya Angelou
#Fuedicho #8demarzo #DiadelaMujer https://t.co/p8iPKEnUpT",fuedicho,803356,2,83,404,3,19559.0,es
"['Fuedicho', '8demarzo', 'DiadelaMujer']",2023-03-08 19:00:51+00:00,"""Mi madre me dijo que fuera una dama. Y para ella, eso significaba ser independiente"". 
Ruth Bader Ginsburg
#Fuedicho #8demarzo #DiadelaMujer https://t.co/Z0eP9TPBnt",fuedicho,803358,1,155,762,9,29961.0,es
"['Fuedicho', '8demarzo', 'DiadelaMujer']",2023-03-08 18:01:27+00:00,"""Aquellos que creen que el proteccionismo y el aislacionismo son la solución para los problemas del mundo cometen un grave error"".
Angela Merkel
#Fuedicho #8demarzo #DiadelaMujer https://t.co/TcLIzpa3jC",fuedicho,803359,3,42,164,0,15674.0,es
