Hashtags,Fecha,Texto,Usuario,Followers,Respuestas,Retweets,Likes,Citados,Vistas,Idioma
"['Entretenimiento', 'NoticieroVV', '7Mar']",2023-03-07 19:31:48+00:00,"#Entretenimiento | Museos de Italia serán gratis para todas las mujeres el 8 de marzo 

Amplía la información aquí: https://t.co/mcsSZeWnrY 

#NoticieroVV #7Mar https://t.co/7jSATz5ASj",noticierovv,3768784,0,4,1,0,924.0,es
['diadelamujer'],2023-03-08 20:47:30+00:00,"#diadelamujer Nací en una familia donde el papel de mi madre fue y es sumamente importante, donde la igualdad prevalecía, donde el respeto se imponía y todo fluía con amor.       Por un mundo más igualitario ✌🏼❤️ https://t.co/POh8WsePJW",RafaMarquezMX,3946484,1,6,102,0,14610.0,es
"['DíaInternacionaldelaMujer', '8M']",2023-03-08 12:18:47+00:00,👏🏼👑Reinas apoyando a reinas👑👏🏼 Hoy y cada día apoyando el trabajo de las mujeres 💜 #DíaInternacionaldelaMujer #8M https://t.co/HizeJhJzP4,mtvspain,2719476,0,11,33,0,5319.0,es
"['CHAMPIONSxESPN', 'Champions']",2023-03-09 11:45:23+00:00,"El último año del PSG en una misma postal:

❌ 9 de marzo de 2022: eliminado en octavos de final de la #CHAMPIONSxESPN vs. Real Madrid

❌ 8 de marzo de 2023: eliminado en octavos de final de la #Champions vs. Bayern Munich https://t.co/9EKZ9sTXGu",SC_ESPN,4046457,15,16,140,0,21987.0,es
['DíaInternacionalDeLaMujer'],2023-03-11 15:30:02+00:00,"Al tira bandita chilanga, HOY se realiza otra marcha en conmemoración del #DíaInternacionalDeLaMujer. ⚠️🙋🏻‍♀️ Acá todos los detalles.  https://t.co/qx9ANjiwhY",ChilangoCom,3882585,0,1,11,1,5171.0,es
"['DíaInternacionalDeLaMujer', '8M']",2023-03-10 06:04:04+00:00,"Con motivo del #DíaInternacionalDeLaMujer, distintos edificios y monumentos de la Ciudad de México se iluminarán de color morado durante los próximos días. 💜 #8M

📸: @amedjosafat https://t.co/S0kISn0PYS",ChilangoCom,3882585,1,2,24,2,9301.0,es
"['8M', 'DiaInternacionalDeLaMujer']",2023-03-08 05:35:08+00:00,"Toma en cuenta estas recomendaciones por si te piensas sumar a la marcha del #8M por el #DiaInternacionalDeLaMujer 🎒

Acá lo que debes saber de la marcha: https://t.co/EOqH3x9pVb ✨ https://t.co/OJtJbLozqE",ChilangoCom,3882581,2,9,26,0,7329.0,es
"['DiaInternacionalDeLaMujer', 'CDMX', '8M']",2023-03-07 22:45:00+00:00,"En el marco del #DiaInternacionalDeLaMujer se realizarán dos movilizaciones en la #CDMX, acá te contamos más. #8M 🙋🏻‍♀️ https://t.co/kiofzdBpcQ",ChilangoCom,3882581,0,1,2,0,4272.0,es
['8M2023'],2023-03-08 23:56:06+00:00,"A pesar del calor, el ánimo y las exigencias no bajan este #8M2023 💜💚

📹: Gina Jaramillo https://t.co/8xTDgI8kxx",ChilangoCom,3882571,0,1,12,0,5985.0,es
"['DiaDeLaMujer', 'CDMX']",2023-03-08 23:52:48+00:00,"Las pancartas, las consignas y los puños en alto para exigir no paran este #DiaDeLaMujer en la #CDMX https://t.co/KiSA1zy6qY",ChilangoCom,3882362,1,0,20,0,7368.0,es
"['8M', 'DíaDeLaMujer']",2023-03-08 22:15:19+00:00,Ya iniciaron las movilizaciones por  la marcha del #8M en distintos puntos de la ciudad. Los contingentes avanzan con dirección al Zócalo. 🟣 #DíaDeLaMujer https://t.co/J6DV5rggK4,ChilangoCom,3882362,1,8,80,0,15868.0,es
"['8M', 'DíaDeLaMujer']",2023-03-08 13:45:02+00:00,"¡Es hoy! Llegó el #8M y si vas a sumarte a la marcha del #DíaDeLaMujer, esta info es para ti 🙋🏻‍♀️ https://t.co/khsJzViOeI",ChilangoCom,3882351,0,6,34,1,12254.0,es
"['DiaInternacionalDeLaMujer', 'DeNuestroArchivo']",2023-03-08 23:58:07+00:00,"Gracias a Enriqueta Compte y Riqué se creó en 1892 en Uruguay el primer jardín de infantes público de América Latina. La recordamos en el #DiaInternacionalDeLaMujer, con esta nota  #DeNuestroArchivo  https://t.co/195qRoKzcD",bbcmundo,5043262,4,31,107,5,17152.0,es
"['DiaInternacionalDeLaMujer', 'DeNuestroArchivo']",2023-03-08 20:41:25+00:00,"En el #DiaInternacionalDeLaMujer,  recordarmos a estas investigadores que tuvieron que enfrentarse a los prejuicios de su época y nunca lograron ser reconocidas en vida. Gracias a ellas, cambió la forma en que entendemos el universo.  #DeNuestroArchivo  https://t.co/U6GT5wSTSm",bbcmundo,5043255,1,57,119,4,26283.0,es
"['DiaInternacionalDeLaMujer', 'DeNuestroArchivo']",2023-03-08 14:37:06+00:00,"Anacaona fue una princesa taína bella y poderosa, pero, también una mujer culta y talentosa que creyó en la paz y la convivencia, y pagó por ello con su vida. Recordamos su historia en el #DiaInternacionalDeLaMujer, con esta nota #DeNuestroArchivo 
https://t.co/69CVdZjcbN",bbcmundo,5043257,2,39,75,3,17959.0,es
['DeNuestroArchivo'],2023-03-09 00:53:46+00:00,¿Sabes por qué se eligió el 8 de marzo para celebrar el Día Internacional de la Mujer? Te lo contamos en esta nota #DeNuestroArchivo https://t.co/EIsxnVNUhQ,bbcmundo,5043179,2,16,36,1,16234.0,es
['DíaInternacionalDeLaMujer'],2023-03-08 16:03:35+00:00,"🟣 #DíaInternacionalDeLaMujer
La defensora del Pueblo reiteró que aún persisten las “bases del machismo y una cultura patriarcal en la que no se reconocen a las mujeres”.
https://t.co/H00rpNKvFP",RPPNoticias,2858009,5,0,8,0,2642.0,es
['DíaInternacionalDeLaMujer'],2023-03-08 15:19:30+00:00,"🟣✍️ #DíaInternacionalDeLaMujer
Revisamos la obra de ocho autoras esenciales en la literatura latinoamericana.
https://t.co/gE4wHRGsmT",RPPNoticias,2858013,2,1,8,0,3959.0,es
['DíaInternacionalDeLaMujer'],2023-03-08 14:49:22+00:00,"🟣📚 #DíaInternacionalDeLaMujer
Repasamos la obra de grandes escritoras peruanas que dieron un grito feminista con sus escritos.
https://t.co/tERThQz030",RPPNoticias,2858015,2,2,11,0,3874.0,es
['DíaInternacionalDeLaMujer'],2023-03-08 14:19:30+00:00,"🎶 #DíaInternacionalDeLaMujer
Repasamos el trabajo de las artistas peruanas Renata Flores, Mayella Lloclla y Yanna.
https://t.co/UUNqrbjzHf",RPPNoticias,2858019,1,0,20,0,3836.0,es
['DíaInternacionalDeLaMujer'],2023-03-08 14:09:26+00:00,"🟣 #DíaInternacionalDeLaMujer
Las cifras son alarmantes: solo en enero de este año se han reportado más de 10 mil casos de violencia contra la mujer. ¿La situación es reversible?

✍️ Andrea Amésquita
https://t.co/AqjBiqQfao",RPPNoticias,2858020,1,1,2,1,3181.0,es
['DíaInternacionalDeLaMujer'],2023-03-08 13:49:17+00:00,"🟣 #DíaInternacionalDeLaMujer | Raquel dirigió con éxito Radio Panamericana y fue la mente detrás de importantes espectáculos como la primera gira de Soda Stereo en Perú y el concierto de Indochine en los ochenta.
https://t.co/LtQPvztRmI",RPPNoticias,2858021,2,0,18,0,6108.0,es
['DíaInternacionalDeLaMujer'],2023-03-08 13:39:22+00:00,"🚨 #DíaInternacionalDeLaMujer
Cinco de cada diez agricultores son mujeres en el Perú. Ellas aportan más de la mitad de la producción de alimentos del país. Pero, ¿existe participación igualitaria?
https://t.co/H9KcuDbYs6",RPPNoticias,2858022,4,5,36,0,6406.0,es
"['LaRotativaDelAire', 'DíaInternacionalDeLaMujer']",2023-03-08 12:22:49+00:00,"🔴 #LaRotativaDelAire #DíaInternacionalDeLaMujer 
Adolescente peruana visita la cabina de RPP Trujillo y cuenta su experiencia pues viajará a la Nasa por el programa 'Ella es astronauta'.

📻 ► 89.7 FM / 730 AM
📺 ► Movistar 10 - 710 HD
📲 ► https://t.co/p3D4WYM0PK https://t.co/EY6G1Yg2P6",RPPNoticias,2858029,1,4,17,0,4118.0,es
['8DeMarzo'],2023-03-09 20:00:00+00:00,"#8DeMarzo | Escucha las voces desde la marcha 
▶️  https://t.co/cEg9bdSXHu https://t.co/M6muHViNTs",AristeguiOnline,9474004,3,18,57,1,16168.0,es
