Hashtags,Fecha,Texto,Usuario,Followers,Respuestas,Retweets,Likes,Citados,Vistas,Idioma
"['DíaDeLaMujer', 'NiñaNoEsUnInsulto', '8M2023', 'EllasTienenLaPalabra']",2023-03-05 12:00:36+00:00,"Para el #DíaDeLaMujer te recomendamos el libro infantil #NiñaNoEsUnInsulto 👉 https://t.co/x75YaUjxgW
Una introducción al feminismo para niños y niñas de Carolina Capria y Mariella Martucci, que publica @LaEsfera_Azul 

#8M2023 #EllasTienenLaPalabra https://t.co/kDCVl37YuR",casadellibro,203968,2,2,15,1,4064.0,es
['GobiernoInfeminista'],2023-03-05 18:03:35+00:00,"A cuantas mujeres va a sacar @GabrielBoric del gabinete, a 2 días del 8 de marzo?
A cuatro?
#GobiernoInfeminista",PamJiles,670184,527,236,687,32,134315.0,es
['8M2023'],2023-03-07 16:39:46+00:00,"Ya se que te dara igual  @IbaiLlanos.
Pero mientras Coscu siga en la Velada , después de reconocer como publico una foto de una mujer desnuda y borracha.
No quiero saber de NADA de lo que hagas u organices.
Y espero que todo el mundo haga lo mismo .
  #8M2023 https://t.co/OPUjVOVjx4",ManoOrgulloso,1015,866,1119,12677,134,879346.0,es
['DíaInternacionalDeLaMujer'],2023-03-08 20:21:52+00:00,"Hoy desde el Comité de Acción de la Guardia Nacional Bolivariana, conmemoramos el #DíaInternacionalDeLaMujer, honrando su Liderazgo, Entrega y Compromiso con nuestra sagrada Patria. ¡VIVAN LAS MUJERES VENEZOLANAS! https://t.co/A23vnxocXa",GNBAccionSocial,15059,939,482,393,58,6183.0,es
"['8M', 'feminismo', 'IgualdadDeGénero', '8M2023']",2023-03-08 19:44:23+00:00,"Un año más salimos a la calle en este #8M💜, una jornada de orgullo y reivindicación del #feminismo.

Celebramos los avances en #IgualdadDeGénero de nuestro país, que está entre los mejores del mundo. 

Para seguir progresando con una sociedad más igualitaria y fuerte.

#8M2023 https://t.co/ExM9lmenUJ",NadiaCalvino,89878,386,225,608,11,33038.0,es
"['8M', '8DeMarzo']",2023-03-08 15:14:39+00:00,"🟣 Me encantaría saludar con entusiasmo a todas las mujeres en éste #8M, sin embargo, es un día triste para las Compañeras que habitamos la Política. Solidarizo con mi compañera @vivianadiputada e invito a todas mis colegas que se han sentido violentadas a decir BASTA! 
#8DeMarzo",Diputada_Arce,1216,2505,46,230,198,209941.0,es
['DiaInternacionalDeLaMujer'],2023-03-08 13:52:04+00:00,"“Nunca dudes de que un pequeño grupo de personas pensantes y comprometidas puedan cambiar el mundo. De hecho, son las únicas que alguna vez lo han logrado.” ✊🏾💜
Margaret Mead
#DiaInternacionalDeLaMujer https://t.co/lz00VbyUvg",IreneVelezT,101294,424,420,1708,18,70298.0,es
"['ParidadPorLey', '8M2023']",2023-03-08 15:32:11+00:00,"Begoña y yo hemos compartido un café con @monicachaoj, @luisagarcia, @tparejon y Ángela Pérez, cuatro mujeres que han roto el techo de cristal.

Que lo que todavía es una excepción se convierta en un derecho.

Gracias a la #ParidadPorLey, garantizamos la igualdad real. 

#8M2023 https://t.co/Cn3LurAYik",sanchezcastejon,1752344,1420,588,1730,199,337800.0,es
"['DiaInternacionalDeLaMujer', '8marzo2023', 'DiaInternacionalDeLaMujer', 'VivasNosQueremos']",2023-03-08 19:24:34+00:00,"Gracias a San Luis Potosí por invitarme a dialogar sobre el #DiaInternacionalDeLaMujer y lo mucho que falta para enfrentar la violencia de género, la misoginia, el sexismo, y la desigualdad en nuestro país.

#8marzo2023 
#DiaInternacionalDeLaMujer 
#VivasNosQueremos https://t.co/rDKFlMJ5c7",DeniseDresserG,4644130,63,50,477,3,30239.0,es
"['8M2023', 'DiaInternacionalDeLaMujer']",2023-03-08 17:03:19+00:00,"Nos vemos en el Zócalo, como cada 8 de marzo. Vivas las quiero, vivas las queremos. Libres las quiero, libres las queremos. Con voz, con derechos, con valentía, con exigencia, con las causas compartidas que nos unen. 

#8M2023 
#DiaInternacionalDeLaMujer https://t.co/QbsiCx54cK",DeniseDresserG,4644128,484,568,3693,24,178320.0,es
"['8M', 'DiaInternacionalDeLaMujer']",2023-03-08 12:57:17+00:00,"Nos vemos en el Zócalo. 
#8M
#DiaInternacionalDeLaMujer https://t.co/AInMz6NvtD",DeniseDresserG,4644135,322,197,1417,12,89391.0,es
['DiaInternacionalDeLaMujer'],2023-03-07 22:14:11+00:00,"“Ya no estoy aceptando las cosas que no puedo cambiar. Estoy cambiando las cosas que no puedo aceptar”/Ángela Davis 

#DiaInternacionalDeLaMujer https://t.co/fbP7MKSGoy",DeniseDresserG,4644136,144,253,1289,16,65174.0,es
['DiaInternacionalDeLaMujer'],2023-03-06 00:55:08+00:00,"Va invitación a panel en el que participaré mañana sobre “Mujeres en la política”, con @tatclouthier. 6 de marzo, 1:00-2:30 pm, Universidad de Monterrey. Ahí nos vemos ✌️

#DiaInternacionalDeLaMujer https://t.co/nQHg4UJdVv",DeniseDresserG,4644136,46,54,381,3,32762.0,es
"['8M2023', 'Marcha8M', 'DiaInternacionaDeLaMujer']",2023-03-08 23:20:53+00:00,"Mis alumnas marchando por sus derechos 👊💜

#8M2023
#Marcha8M
#DiaInternacionaDeLaMujer https://t.co/kAmjO6VCCu",DeniseDresserG,4644143,494,479,3978,29,201129.0,es
"['URGENTE', '8M2023']",2023-03-08 23:01:57+00:00,"#URGENTE || Vamos en la marcha #8M2023 de manera PACÍFICA y la respuesta de la Señora @ClaudiaLopez en lugar de apoyar los derechos de las mujeres, lo que hace es mandarnos el ESMAD. Esta es la Bogotá cuidadora @Bogota https://t.co/H4klcewI8v",SandraComunes,51705,742,109,183,71,52986.0,es
"['8M2023', 'NiUnaMas', 'EmergenciaNacionalPorViolenciasMachistas']",2023-03-08 22:21:42+00:00,"Ya estamos en la movilización del #8M2023. Acompañamos las luchas feministas y a todas las mujeres. Hoy conmemoramos un año más de resistencia y de luchas por nuestros derechos. 

¡Basta ya de tanta violencia de género! 
#NiUnaMas #EmergenciaNacionalPorViolenciasMachistas https://t.co/mUEUZDHBqa",SandraComunes,51705,157,19,57,13,10287.0,es
"['DiaDeLaMujer', 'NiUnaMas', 'EmergenciaNacionalPorViolenciasMachistas']",2023-03-08 13:04:14+00:00,"En el #DiaDeLaMujer trabajadora, enviamos nuestro mensaje sororo a todas las mujeres valientes. Recordemos que somos históricas, que la lucha por nuestros derechos continúa ante un sistema machista y patriarcal. 💜✊🏻

#NiUnaMas! #EmergenciaNacionalPorViolenciasMachistas https://t.co/LRYTlbB1wp",SandraComunes,51728,12,12,29,1,1577.0,es
['8DeMarzo'],2023-03-08 15:18:18+00:00,"#8DeMarzo ¡Día de las mujeres trabajadoras!

""Por un mundo donde seamos socialmente iguales, humanamente diferentes y totalmente libres"" Rosa Luxenburgo. https://t.co/nuV7fTczBH",SandraComunes,51731,89,19,54,8,6469.0,es
"['8Marzo', 'Mujeres', 'Venezuela', 'FelizDiaDeLaMujer', 'DiaInternacionalDeLaMujer', 'ChávezFeminista']",2023-03-08 18:00:12+00:00,"#8Marzo Nuestra patria tiene nombre de #Mujeres que han dado su vida por construir con esfuerzo y dedicación la #Venezuela que hoy tenemos. #FelizDiaDeLaMujer #DiaInternacionalDeLaMujer
#ChávezFeminista 
.@42AraguaInvicta 
.@CZGNB_43
.@GNBVCostera https://t.co/zQXZv039O3",GNB_Pueblo,122313,533,461,281,13,5545.0,es
"['8Mar', 'Hoy', 'DiaInternacionalDeLaMujer', 'mujeres', 'IgualdadDeGénero', '8DeMarzo', 'ChávezFeminista']",2023-03-08 11:35:04+00:00,"#8Mar #Hoy  es el #DiaInternacionalDeLaMujer y la Guardia del Pueblo se une a todas las #mujeres para honrar a cada una de las que lucharon por una #IgualdadDeGénero y de condiciones #8DeMarzo #ChávezFeminista 
.@GNBVCostera
.@42AraguaInvicta 
.@CZGNB_43 https://t.co/oBYNFyIOrM",GNB_Pueblo,122316,434,434,286,22,9657.0,es
